,Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,LongevidadeIDHM,AlfabIDHM,RendaIDHM
52,350270530000001,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270530,PALMITALZINHO,35027053000,PALMITALZINHO,3502705000,APIAÍ (todos os setores),1,0,0.8,0.9269579963226540,0.4788869403634670
53,350270530000002,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270530,PALMITALZINHO,35027053000,PALMITALZINHO,3502705000,APIAÍ (todos os setores),8,0,0.8,0.9643347050754460,0.4364394021303710
54,350270530000003,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270530,PALMITALZINHO,35027053000,PALMITALZINHO,3502705000,APIAÍ (todos os setores),8,0,0.7,0.8538128538128540,0.3805819844271960
55,350535105000001,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3505351,BARRA DO CHAPÉU,350535105,BARRA DO CHAPÉU,35053510500,BARRA DO CHAPÉU,3505351000,BARRA DO CHAPÉU (todos os setores),1,0,0.75,0.9646854896790810,0.6149770757531560
56,350535105000002,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3505351,BARRA DO CHAPÉU,350535105,BARRA DO CHAPÉU,35053510500,BARRA DO CHAPÉU,3505351000,BARRA DO CHAPÉU (todos os setores),1,0,0.7,0.9550483709551880,0.5848147061302230
57,350535105000003,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3505351,BARRA DO CHAPÉU,350535105,BARRA DO CHAPÉU,35053510500,BARRA DO CHAPÉU,3505351000,BARRA DO CHAPÉU (todos os setores),1,0,0.8,0.963571889103804,0.5188825340385790
58,350535105000004,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3505351,BARRA DO CHAPÉU,350535105,BARRA DO CHAPÉU,35053510500,BARRA DO CHAPÉU,3505351000,BARRA DO CHAPÉU (todos os setores),8,0,0.75,0.9052254098360660,0.43731293440416200
59,350535105000005,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3505351,BARRA DO CHAPÉU,350535105,BARRA DO CHAPÉU,35053510500,BARRA DO CHAPÉU,3505351000,BARRA DO CHAPÉU (todos os setores),8,0,0.7,0.9649122807017540,0.5306837237659040
60,350535105000006,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3505351,BARRA DO CHAPÉU,350535105,BARRA DO CHAPÉU,35053510500,BARRA DO CHAPÉU,3505351000,BARRA DO CHAPÉU (todos os setores),8,0,0.7333333333333330,0.9546941678520630,0.44928852339445500
61,350535105000007,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3505351,BARRA DO CHAPÉU,350535105,BARRA DO CHAPÉU,35053510500,BARRA DO CHAPÉU,3505351000,BARRA DO CHAPÉU (todos os setores),8,0,0.7833333333333330,0.925024925224327,0.4990850268565080
62,350535105000008,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3505351,BARRA DO CHAPÉU,350535105,BARRA DO CHAPÉU,35053510500,BARRA DO CHAPÉU,3505351000,BARRA DO CHAPÉU (todos os setores),8,0,0.7833333333333330,0.9473429951690820,0.5665371284609690
63,350535105000009,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3505351,BARRA DO CHAPÉU,350535105,BARRA DO CHAPÉU,35053510500,BARRA DO CHAPÉU,3505351000,BARRA DO CHAPÉU (todos os setores),8,0,0.6833333333333330,0.9616161616161620,0.4409105192958570
64,350535105000010,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3505351,BARRA DO CHAPÉU,350535105,BARRA DO CHAPÉU,35053510500,BARRA DO CHAPÉU,3505351000,BARRA DO CHAPÉU (todos os setores),8,0,0.8,0.9534824946875450,0.4923320711832720
65,350535105000011,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3505351,BARRA DO CHAPÉU,350535105,BARRA DO CHAPÉU,35053510500,BARRA DO CHAPÉU,3505351000,BARRA DO CHAPÉU (todos os setores),8,0,0.7333333333333330,0.9020789288231150,0.4536964118005470
66,350540105000001,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),1,0,0.7833333333333330,0.9210022900216730,0.6149825177401420
67,350540105000002,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),1,0,0.75,0.9540805238325590,0.5567761348885920
68,350540105000003,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),8,0,0.75,0.9487179487179490,0.4904167073868490
69,350540105000004,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),8,0,0.75,0.8702991124108560,0.4421445048164610
70,350540105000005,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),8,0,0.7833333333333330,0.8687881624103040,0.4945722558725530
71,350540105000006,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),8,0,0.7,0.9583333333333330,0.4090636611339420
72,350540105000007,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),8,0,0.7833333333333330,0.8935988793470980,0.4387085422212450
73,350540105000008,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),8,0,0.75,0.8731616274729380,0.5481588587793960
74,350540105000009,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),8,0,0.7666666666666670,0.8606060606060610,0.34172491451279800
75,350540105000010,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),8,0,0.7,0.847457627118644,0.4454556801150550
76,350540105000011,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),8,0,0.8,0.8917569693833280,0.5278987778012960
77,350540105000012,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),8,0,0.8,0.9085756897837440,0.5106271085910870
78,350540105000013,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),8,0,0.6833333333333330,0.6174603174603180,0.5794421585487490
79,350540105000015,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3505401,BARRA DO TURVO,350540105,BARRA DO TURVO,35054010500,BARRA DO TURVO,3505401000,BARRA DO TURVO (todos os setores),8,0,0.8333333333333330,0.9042424242424240,0.35951728669820100
80,350925405000001,3,Região Sudeste,SP,São Paulo,3514,Litoral Sul Paulista,35055,Registro,0,Municípios não pertencentes a estrutura de RM,3509254,CAJATI,350925405,CAJATI,35092540500,CAJATI,3509254000,CAJATI (todos os setores),1,0,0.7833333333333330,0.9660940743973230,0.5864255651442920
